Carassius gibelio
Acipenser ruthenus
Mercenaria mercenaria
Xyrauchen texanus
Dreissena polymorpha
Mya arenaria
Mytilus trossulus
Haliotis rufescens
Hemicordylus capensis
Mauremys reevesii
Callithrix jacchus
Mus musculus
Symphalangus syndactylus
Homo sapiens
Crassostrea virginica
Acropora millepora
Brienomyrus brachyistius
Anguilla rostrata
Astyanax mexicanus
Astatotilapia calliptera
Conger conger
Necator americanus
Ctenopharyngodon idella
Esox lucius
Fundulus heteroclitus
Hoplias malabaricus
Pygocentrus nattereri
Choloepus didactylus
Pimephales promelas
Rhineura floridana
Monodelphis domestica
Neoarius graeffei
Bubalus bubalis
Engraulis encrasicolus
Macaca fascicularis
Zalophus californianus
Strongylocentrotus purpuratus
Biomphalaria glabrata
Clupea harengus
Cavia porcellus
Nycticebus coucang
Salvelinus sp. IW2-2015
Cervus canadensis
Sebastes umbrosus
Scleropages formosus
Siniperca chuatsi
Hippopotamus amphibius kiboko
Micropterus dolomieu
Lutra lutra
Elephas maximus indicus
Gambusia affinis
Dasypus novemcinctus
Panthera leo
Girardinichthys multiradiatus
Pocillopora verrucosa
Lates calcarifer
Clarias gariepinus
Melanotaenia boesemani
Manis pentadactyla
Ictalurus furcatus
Gopherus evgoodei
Pangasianodon hypophthalmus
Larimichthys crocea
Triplophysa dalaica
Lingula anatina
