version,title,group,n_samples,max_eigenvalue,condition_number,effective_sample_size
v13,PlantCAD2-S-88M 8192bp Angiosperm 2.6M 65sp,Functional DNA models,128,0.27798423,17595162473642.945,2.725035663922206
v13,PlantCAD2-S-88M 8192bp Angiosperm 2.6M 65sp,Functional DNA models,256,0.26260906,17592283618022.4,2.8307894738327968
v13,PlantCAD2-S-88M 8192bp Angiosperm 2.6M 65sp,Functional DNA models,512,0.21838543,2357616023444730.5,3.2811071906824787
v13,PlantCAD2-S-88M 8192bp Angiosperm 2.6M 65sp,Functional DNA models,1024,0.1794545,11938863375526.016,3.7409059667109963
v13,PlantCAD2-S-88M 8192bp Angiosperm 2.6M 65sp,Functional DNA models,4096,0.20201866,3377147383153.135,3.489457954847568
v13,PlantCAD2-S-88M 8192bp Angiosperm 2.6M 65sp,Functional DNA models,16384,0.19573376,2635405582514.697,3.5889174814836386
v13,PlantCAD2-S-88M 8192bp Angiosperm 2.6M 65sp,Functional DNA models,65536,0.18875675,2404475361601.0547,3.6822550833195042
v14,PlantCAD2-S-88M (random) 8192bp Angiosperm 2.6M 65sp,Functional DNA models (random weights),128,0.6245232,681953877607312.0,2.1334669356301155
v14,PlantCAD2-S-88M (random) 8192bp Angiosperm 2.6M 65sp,Functional DNA models (random weights),256,0.664705,17594988798532.566,2.134295582416661
v14,PlantCAD2-S-88M (random) 8192bp Angiosperm 2.6M 65sp,Functional DNA models (random weights),512,0.6739688,17910797442092.164,2.189712277126387
v14,PlantCAD2-S-88M (random) 8192bp Angiosperm 2.6M 65sp,Functional DNA models (random weights),1024,0.65260077,1206744.153381402,2.318377780952255
v14,PlantCAD2-S-88M (random) 8192bp Angiosperm 2.6M 65sp,Functional DNA models (random weights),4096,0.61634314,85004.95843640882,2.4250642014030133
v14,PlantCAD2-S-88M (random) 8192bp Angiosperm 2.6M 65sp,Functional DNA models (random weights),16384,0.61290646,58563.675310124316,2.436292836945264
v14,PlantCAD2-S-88M (random) 8192bp Angiosperm 2.6M 65sp,Functional DNA models (random weights),65536,0.612681,53794.75037566179,2.4530723717622527
