true_label,Acoerulea,Acomosus,Ahypochondriacus,Ahypogaea,Aofficinalis,Athaliana,Bdistachyon,Bplatyphylla,Bstricta,Bvulgaris,Carabica,Carietinum,Cavellana,Ccitriodora,Cclementina,Cillinoinensis,Ckanehirae,Cquinoa,Crubella,Csativus,Dalata,Dcarota,Ecoracana,Egrandis,Esalsugineum,Fvesca,Gmax,Hannuus,Hvulgare,Lalbus,Lervoides,Ljaponicus,Lsativa,Lusitatissimum,Macuminata,Mdomestica,Mesculenta,Msinensis,Mtruncatula,Ncolorata,Oeuropaea,Osativa,Othomaeum,Pamilis,Ppersica,Ptrichocarpa,Ptrifoliata,Pvaginatum,Pvirgatum,Qrubra,Rcommunis,Sbicolor,Soleracea,Sparvula,Spolyrhiza,Spurpurea,Sviridis,Taestivum,Tintermedium,Vdarrowii,Vfaba,Vunguiculata,Vvinifera,Zmarina,Zmays
Acoerulea,47,2,1,3,4,7,0,4,1,6,1,1,0,3,2,4,9,7,2,2,2,5,3,0,1,7,2,2,1,3,8,5,0,1,3,3,1,0,1,3,2,2,1,4,3,0,0,0,0,5,1,0,0,1,1,2,1,0,1,5,1,5,3,3,3
Acomosus,0,86,3,1,4,2,0,7,2,8,7,2,7,3,3,4,1,5,2,0,2,5,0,7,1,2,0,0,2,0,0,1,1,1,2,0,3,2,1,0,0,4,6,0,2,0,4,1,1,0,4,0,2,3,0,0,0,1,0,3,0,2,0,1,5
Ahypochondriacus,4,5,57,2,4,1,0,3,1,13,4,5,3,0,2,0,5,16,2,5,2,4,1,1,0,2,3,5,0,7,2,2,2,2,0,2,3,0,7,1,5,0,0,7,0,1,8,0,0,2,4,0,7,0,0,2,0,0,0,0,5,6,2,3,0
Ahypogaea,2,2,8,29,5,0,0,0,0,7,4,8,3,1,11,7,1,6,2,2,5,5,2,2,0,1,14,0,0,6,1,8,0,0,5,1,4,0,3,0,1,0,0,3,0,5,7,0,0,3,3,0,4,2,0,5,1,1,0,4,7,10,4,2,0
Aofficinalis,5,5,9,4,56,2,3,1,0,11,1,2,4,1,7,7,4,7,3,3,3,7,2,0,4,3,3,3,1,8,5,4,1,6,6,3,2,2,1,3,1,3,0,2,0,2,1,1,1,0,2,0,2,4,2,2,0,0,2,6,5,2,4,4,5
Athaliana,3,2,3,2,3,33,0,1,13,0,0,0,1,0,0,0,0,0,16,3,1,4,1,1,22,4,0,4,0,2,5,0,0,7,6,2,0,1,3,1,0,0,0,0,1,2,0,0,0,0,1,0,1,22,0,1,0,0,0,3,0,0,0,3,0
Bdistachyon,1,0,0,0,2,0,28,1,0,0,1,0,0,4,0,0,0,1,0,0,1,1,15,2,0,0,0,0,18,0,0,0,0,0,2,0,0,5,0,2,0,2,12,0,1,1,0,18,13,0,0,11,2,1,1,0,10,19,19,3,0,0,0,1,10
Bplatyphylla,1,5,4,2,2,0,1,33,1,4,6,1,27,3,5,7,16,9,2,3,2,1,0,4,1,2,3,2,0,2,2,2,0,0,3,1,0,0,2,6,0,0,0,2,5,0,5,2,1,15,1,0,2,0,2,5,0,0,0,8,4,0,4,0,2
Bstricta,2,1,2,1,2,21,0,0,10,0,0,4,0,0,1,1,0,0,16,1,0,7,0,2,20,2,1,4,0,1,4,3,1,2,1,2,0,0,1,5,1,0,0,0,2,0,0,0,0,0,1,0,0,17,0,1,0,1,1,1,0,0,0,2,0
Bvulgaris,3,3,9,4,9,1,2,4,1,53,11,2,2,0,1,2,3,16,3,2,2,9,0,1,1,4,4,2,0,5,5,7,2,1,1,0,2,1,6,1,2,0,1,3,1,0,2,0,1,6,3,2,11,1,1,0,0,0,0,6,4,2,2,2,0
