species,correct,total,accuracy
_OVERALL_,8871,13108,0.6767622825755264
Acoerulea,183,201,0.9104477611940298
Acomosus,205,216,0.9490740740740741
Ahypochondriacus,202,230,0.8782608695652174
Ahypogaea,181,217,0.8341013824884793
Aofficinalis,241,253,0.9525691699604744
Athaliana,54,178,0.30337078651685395
Bdistachyon,108,208,0.5192307692307693
Bplatyphylla,132,223,0.5919282511210763
Bstricta,44,145,0.30344827586206896
Bvulgaris,176,235,0.7489361702127659
Carabica,187,204,0.9166666666666666
Carietinum,124,193,0.6424870466321243
Cavellana,126,219,0.5753424657534246
Ccitriodora,105,192,0.546875
Cclementina,78,188,0.4148936170212766
Cillinoinensis,178,218,0.8165137614678899
Ckanehirae,280,288,0.9722222222222222
Cquinoa,144,234,0.6153846153846154
Crubella,60,178,0.33707865168539325
Csativus,169,186,0.9086021505376344
Dalata,194,210,0.9238095238095239
Dcarota,182,200,0.91
Ecoracana,68,203,0.33497536945812806
Egrandis,102,192,0.53125
Esalsugineum,55,183,0.3005464480874317
Fvesca,136,182,0.7472527472527473
Gmax,140,210,0.6666666666666666
Hannuus,186,203,0.916256157635468
Hvulgare,79,209,0.37799043062200954
Lalbus,161,192,0.8385416666666666
Lervoides,129,210,0.6142857142857143
Ljaponicus,186,222,0.8378378378378378
Lsativa,150,174,0.8620689655172413
Lusitatissimum,156,173,0.9017341040462428
Macuminata,194,201,0.9651741293532339
Mdomestica,132,183,0.7213114754098361
Mesculenta,159,213,0.7464788732394366
Msinensis,55,168,0.3273809523809524
Mtruncatula,122,180,0.6777777777777778
Ncolorata,227,242,0.9380165289256198
Oeuropaea,159,170,0.9352941176470588
Osativa,128,197,0.649746192893401
Othomaeum,86,198,0.43434343434343436
Pamilis,174,190,0.9157894736842105
Ppersica,115,179,0.6424581005586593
Ptrichocarpa,117,205,0.5707317073170731
Ptrifoliata,104,198,0.5252525252525253
Pvaginatum,67,195,0.3435897435897436
Pvirgatum,66,193,0.34196891191709844
Qrubra,212,236,0.8983050847457628
Rcommunis,90,149,0.6040268456375839
Sbicolor,101,203,0.4975369458128079
Soleracea,139,219,0.634703196347032
Sparvula,78,185,0.42162162162162165
Spolyrhiza,135,150,0.9
Spurpurea,126,200,0.63
Sviridis,53,187,0.28342245989304815
Taestivum,76,208,0.36538461538461536
Tintermedium,68,199,0.3417085427135678
Vdarrowii,231,242,0.9545454545454546
Vfaba,100,201,0.4975124378109453
Vunguiculata,128,195,0.6564102564102564
Vvinifera,197,223,0.8834080717488789
Zmarina,209,215,0.9720930232558139
Zmays,122,215,0.5674418604651162
