target,n_classes,n_components,accuracy,f1_macro,roc_auc_macro,auprc_macro
membership,2,0,0.49725442342892007,0.4967671739227639,0.4913889633401828,0.49131843715162804
membership,2,1,0.5155582672361196,0.5086025127100596,0.5185711307662527,0.5058467481662927
membership,2,2,0.5186089078706528,0.5116248505894283,0.5187364126388516,0.5054475090740568
membership,2,3,0.48749237339841367,0.48611024017056503,0.4954063551624527,0.4937308303382626
membership,2,4,0.49542403904820015,0.4942190460091921,0.48968998481193604,0.48790383755651473
membership,2,8,0.48688224527150703,0.48363371682473466,0.49533041484261,0.49455228273784163
membership,2,16,0.4960341671751068,0.4949766776986275,0.5008978826051996,0.5036130709954971
membership,2,32,0.4856619890176937,0.4853554615172303,0.49297775395336374,0.5019734551457626
membership,2,64,0.4856619890176937,0.48466751232779226,0.48901545608862673,0.5001242776853478
membership,2,128,0.4807809640024405,0.4804064990677567,0.48170731707317077,0.4954348114772096
membership,2,256,0.4844417327638804,0.483604372167422,0.48443521248399296,0.49748052354878003
membership,2,512,0.4844417327638804,0.4836544286925966,0.4845454003990589,0.4977448867877099
membership,2,768,0.4844417327638804,0.4836544286925966,0.4845454003990589,0.4977609946286764
species,65,0,0.017317668599328654,0.014296099343283757,0.5014548927139366,0.015981264120571853
species,65,1,0.024565151052792188,0.01801404947438561,0.5428208549215731,0.019175982185105675
species,65,2,0.046383887702166615,0.04184538013835608,0.7504787727112935,0.04208478281531345
species,65,3,0.07300884955752213,0.06783549750862639,0.7988214036850687,0.05993250696417293
species,65,4,0.09078425389075374,0.08415785499448308,0.8139928006340185,0.06966242294386239
species,65,8,0.15952090326518156,0.15193912438698537,0.8719387879227539,0.12795740456074123
species,65,16,0.4271437290204455,0.4180621752908095,0.9652245526055765,0.4310042293418949
species,65,32,0.5855202929508697,0.5781530930761692,0.9809980154417476,0.6034693203999536
species,65,64,0.6371681415929203,0.6306929804525455,0.9837366638235429,0.6540715249484181
species,65,128,0.6580714067744888,0.6528125817976743,0.983911735409233,0.6755542448407293
species,65,256,0.6700488251449497,0.6659876191677481,0.9841280018109875,0.6881246059335059
species,65,512,0.6717271895025938,0.6674349267598906,0.9836493823882955,0.692135743886932
species,65,768,0.6767622825755264,0.6725169626434943,0.9843299865827814,0.6982027012544323
gc_content,5,0,0.20384498016478486,0.2033828030710138,0.5026299005392151,0.2021000796070494
gc_content,5,1,0.23382667073542873,0.22740036391534696,0.5443357314407952,0.22725361119535306
gc_content,5,2,0.6351846200793408,0.6378290232459992,0.9005753164449585,0.6841516189790726
gc_content,5,3,0.7469484284406469,0.7478320804860024,0.9445624575575602,0.7953599581156936
gc_content,5,4,0.7702166615807141,0.7709967743844789,0.9542465627593877,0.826322446591854
gc_content,5,8,0.8130149527006408,0.8135253205526245,0.9669568674982763,0.8690886234143556
gc_content,5,16,0.8241531888922795,0.8244764222460097,0.9715902403306057,0.8867672164123552
gc_content,5,32,0.8308666463228562,0.8312448542420958,0.9737480325264795,0.8952476575613865
gc_content,5,64,0.8339945071711932,0.8344041384488048,0.9741655757609363,0.8971414611991984
gc_content,5,128,0.8359017393957888,0.836356341399183,0.9740631456446319,0.8958150844810524
gc_content,5,256,0.8320872749465975,0.8324030705383793,0.9735615880475332,0.8939997525717619
gc_content,5,512,0.8321635642355814,0.8326014698151439,0.9730939791439701,0.8923215936702643
gc_content,5,768,0.8290357033872444,0.8293064391158194,0.9728820039359259,0.8914785814753147
repeat_fraction,5,0,0.19873359780286848,0.197824330439694,0.5027369750228108,0.20061968740656622
repeat_fraction,5,1,0.2760909368324687,0.2637258846854839,0.5977831879913283,0.2801350291954282
repeat_fraction,5,2,0.3475740006103143,0.336934644597065,0.6721668941094222,0.3356777849096251
repeat_fraction,5,3,0.4096734818431492,0.4024128816767221,0.7435782514556901,0.4106379065327269
repeat_fraction,5,4,0.4267622825755264,0.4186532786663329,0.7575867393245247,0.4303740352698095
repeat_fraction,5,8,0.48161428135489776,0.4723281330386445,0.8086737926710876,0.5078829449591418
repeat_fraction,5,16,0.5265486725663717,0.5204469358281882,0.8358349871593042,0.5655500870640207
repeat_fraction,5,32,0.5456209948123284,0.540334640783178,0.8472679326882939,0.5849820940157359
repeat_fraction,5,64,0.5494354592615197,0.5439657495675227,0.8512997427287361,0.5925231492816156
repeat_fraction,5,128,0.5505035093072933,0.545461169748743,0.8509374541850828,0.59239627762172
repeat_fraction,5,256,0.5500457735733904,0.5453627900621221,0.8512277645731338,0.5936745888054846
repeat_fraction,5,512,0.5503509307293256,0.5449379578527912,0.8498737563397523,0.5914568328103701
repeat_fraction,5,768,0.5472230698809887,0.5420126262241018,0.8493180067176402,0.5914001474388535
kmer_entropy_1,5,0,0.20102227647238327,0.20060518983644146,0.502414801098824,0.20088547255021605
kmer_entropy_1,5,1,0.22635032041501374,0.21559695534722972,0.5372041835280242,0.22334037473489268
kmer_entropy_1,5,2,0.6251907232224596,0.6272816737994525,0.890499792612664,0.6639037542350843
kmer_entropy_1,5,3,0.732834909978639,0.7330886016341613,0.9376169161656815,0.7755567519029751
kmer_entropy_1,5,4,0.7624351541043638,0.762628351281902,0.9507359312653254,0.8129312540637109
kmer_entropy_1,5,8,0.805004577357339,0.8052209299316078,0.9650322855386136,0.8622369106352235
kmer_entropy_1,5,16,0.8178211779066219,0.8179219267613401,0.9690233325761172,0.8754335288879753
kmer_entropy_1,5,32,0.8255263960939884,0.8257247365963274,0.9713813699923385,0.8843014826916654
kmer_entropy_1,5,64,0.8270521818736649,0.8272849890726887,0.9714139879323188,0.8839558141809093
kmer_entropy_1,5,128,0.8243057674702472,0.8243990015891247,0.9710238916151646,0.883272922149932
kmer_entropy_1,5,256,0.8258315532499237,0.8258702359376608,0.9708404335154126,0.8813879606801546
kmer_entropy_1,5,512,0.8220933780897162,0.8219341368790705,0.9699462181071145,0.8788868799662307
kmer_entropy_1,5,768,0.8220170888007324,0.8218950446173681,0.9695175416673149,0.8757691212402963
kmer_entropy_3,5,0,0.20094598718339945,0.2008478291737012,0.5011792676798781,0.20043016047076273
kmer_entropy_3,5,1,0.22848642050656087,0.22137176688834267,0.535893947423751,0.22508154660037522
kmer_entropy_3,5,2,0.5993286542569424,0.6015171144891468,0.8779148837863217,0.6406030278811622
kmer_entropy_3,5,3,0.7052944766554776,0.7054439368531765,0.9292271051378247,0.748056127266679
kmer_entropy_3,5,4,0.7342844064693317,0.7345447059984955,0.941788407343514,0.7847682461771905
kmer_entropy_3,5,8,0.7669362221544095,0.7670943832969621,0.9534731758408281,0.8196552725715802
kmer_entropy_3,5,16,0.7820415013732072,0.7822755308171463,0.9578346116094176,0.8342026081767313
kmer_entropy_3,5,32,0.7929508696978944,0.7934461060271192,0.961298965203792,0.8476549935905423
