species,correct,total,accuracy
_OVERALL_,19072,52429,0.36376814358465737
Acoerulea,274,768,0.3567708333333333
Acomosus,506,880,0.575
Ahypochondriacus,374,897,0.4169453734671126
Ahypogaea,132,837,0.15770609318996415
Aofficinalis,377,1034,0.3646034816247582
Athaliana,228,736,0.30978260869565216
Bdistachyon,268,806,0.3325062034739454
Bplatyphylla,226,889,0.2542182227221597
Bstricta,89,573,0.15532286212914484
Bvulgaris,360,938,0.3837953091684435
Carabica,295,831,0.35499398315282793
Carietinum,282,765,0.3686274509803922
Cavellana,208,872,0.23853211009174313
Ccitriodora,277,768,0.3606770833333333
Cclementina,195,790,0.2468354430379747
Cillinoinensis,254,894,0.2841163310961969
Ckanehirae,723,1161,0.6227390180878553
Cquinoa,281,913,0.307776560788609
Crubella,235,714,0.3291316526610644
Csativus,391,754,0.5185676392572944
Dalata,339,814,0.41646191646191644
Dcarota,451,826,0.5460048426150121
Ecoracana,207,805,0.2571428571428571
Egrandis,271,764,0.35471204188481675
Esalsugineum,211,722,0.2922437673130194
Fvesca,289,770,0.37532467532467534
Gmax,211,861,0.2450638792102207
Hannuus,523,824,0.6347087378640777
Hvulgare,250,834,0.2997601918465228
Lalbus,420,811,0.5178791615289766
Lervoides,227,845,0.2686390532544379
Ljaponicus,254,865,0.29364161849710985
Lsativa,295,702,0.4202279202279202
Lusitatissimum,448,687,0.6521106259097526
Macuminata,408,782,0.5217391304347826
Mdomestica,216,772,0.27979274611398963
Mesculenta,362,848,0.4268867924528302
Msinensis,104,634,0.1640378548895899
Mtruncatula,232,738,0.3143631436314363
Ncolorata,514,963,0.5337487019730011
Oeuropaea,228,651,0.35023041474654376
Osativa,248,765,0.3241830065359477
Othomaeum,264,783,0.3371647509578544
Pamilis,353,769,0.459037711313394
Ppersica,217,752,0.28856382978723405
Ptrichocarpa,312,809,0.3856613102595797
Ptrifoliata,198,783,0.25287356321839083
Pvaginatum,200,800,0.25
Pvirgatum,163,785,0.20764331210191084
Qrubra,410,911,0.4500548847420417
Rcommunis,254,593,0.42833052276559863
Sbicolor,223,788,0.282994923857868
Soleracea,321,905,0.3546961325966851
Sparvula,203,723,0.28077455048409405
Spolyrhiza,410,638,0.6426332288401254
Spurpurea,276,805,0.34285714285714286
Sviridis,176,751,0.23435419440745672
Taestivum,160,802,0.19950124688279303
Tintermedium,162,805,0.20124223602484473
Vdarrowii,536,940,0.5702127659574469
Vfaba,161,780,0.2064102564102564
Vunguiculata,228,788,0.2893401015228426
Vvinifera,368,918,0.4008714596949891
Zmarina,507,828,0.6123188405797102
Zmays,287,870,0.32988505747126434
