target,n_classes,n_components,accuracy,f1_macro
species,65,0,0.01787178851399035,0.010754860992689278
species,65,1,0.05489328425108242,0.03151288264109563
species,65,2,0.04987697648248107,0.03395539224487289
species,65,3,0.06481145930687215,0.05686065939738079
species,65,4,0.07703751740448989,0.06849473339628596
species,65,8,0.16351637452554885,0.1558200597726195
species,65,16,0.2880466917164165,0.28330290191031393
species,65,32,0.3487001468652845,0.34271525092316907
species,65,64,0.37561273341089857,0.37072665208815375
species,65,128,0.36620954052146715,0.36009966870927634
species,65,256,0.3666863758606878,0.3650827252780308
species,65,512,0.3823647218142631,0.3794281035198126
species,65,768,0.36477903450380517,0.3605725507867845
gc_content,5,0,0.19912643765854776,0.19877998359938925
gc_content,5,1,0.9445345133418528,0.9445303566121425
gc_content,5,2,0.9471094241736444,0.9471649353502333
gc_content,5,3,0.9647141848976711,0.964722277124833
gc_content,5,4,0.9667550401495356,0.9667623895892948
gc_content,5,8,0.9717904213317058,0.9717979997488237
gc_content,5,16,0.9756432508726087,0.9756507509828463
gc_content,5,32,0.9758912052490034,0.9758983416426196
gc_content,5,64,0.9762154532796735,0.9762235152408912
gc_content,5,128,0.9761963798661046,0.9762011519246698
gc_content,5,256,0.9758149115947281,0.9758186180459054
gc_content,5,512,0.9754143699097828,0.9754202006382908
gc_content,5,768,0.9748612409162868,0.9748634519372372
repeat_fraction,5,0,0.20263594575521182,0.20247755865929512
repeat_fraction,5,1,0.2598180396345534,0.24017880178390202
repeat_fraction,5,2,0.2681721947776994,0.24684524771446464
repeat_fraction,5,3,0.286673405939461,0.26657642352879574
repeat_fraction,5,4,0.30959964904919035,0.2909436559273878
repeat_fraction,5,8,0.3916725476358504,0.38373635573045944
repeat_fraction,5,16,0.4247267733506266,0.41611995372904936
repeat_fraction,5,32,0.44204543287112097,0.4333617754692245
repeat_fraction,5,64,0.44708081405329114,0.4382412780118309
repeat_fraction,5,128,0.4487020542066414,0.43998988050190374
repeat_fraction,5,256,0.4472143279482729,0.4382012534518106
repeat_fraction,5,512,0.44557401438135386,0.43649028124628514
repeat_fraction,5,768,0.44557401438135386,0.4361846629301568
kmer_entropy_1,5,0,0.2027694596501936,0.2025337758884723
kmer_entropy_1,5,1,0.9003223406893132,0.9002757261974678
kmer_entropy_1,5,2,0.940777050868794,0.9407198471079671
kmer_entropy_1,5,3,0.9604035934311164,0.9603798724218156
kmer_entropy_1,5,4,0.963302752293578,0.9632805806869822
kmer_entropy_1,5,8,0.968681454919987,0.968670169709698
kmer_entropy_1,5,16,0.9732018539357989,0.9731909389918437
kmer_entropy_1,5,32,0.9731637071086613,0.9731566255177118
kmer_entropy_1,5,64,0.9726677983558718,0.9726553113340854
kmer_entropy_1,5,128,0.9722481832573576,0.9722389378988632
kmer_entropy_1,5,256,0.9722863300844953,0.9722741594640372
kmer_entropy_1,5,512,0.9711609986839345,0.9711449686294324
