true_label,Acoerulea,Acomosus,Ahypochondriacus,Ahypogaea,Aofficinalis,Athaliana,Bdistachyon,Bplatyphylla,Bstricta,Bvulgaris,Carabica,Carietinum,Cavellana,Ccitriodora,Cclementina,Cillinoinensis,Ckanehirae,Cquinoa,Crubella,Csativus,Dalata,Dcarota,Ecoracana,Egrandis,Esalsugineum,Fvesca,Gmax,Hannuus,Hvulgare,Lalbus,Lervoides,Ljaponicus,Lsativa,Lusitatissimum,Macuminata,Mdomestica,Mesculenta,Msinensis,Mtruncatula,Ncolorata,Oeuropaea,Osativa,Othomaeum,Pamilis,Ppersica,Ptrichocarpa,Ptrifoliata,Pvaginatum,Pvirgatum,Qrubra,Rcommunis,Sbicolor,Soleracea,Sparvula,Spolyrhiza,Spurpurea,Sviridis,Taestivum,Tintermedium,Vdarrowii,Vfaba,Vunguiculata,Vvinifera,Zmarina,Zmays
Acoerulea,611,1,0,3,4,4,0,0,1,4,1,1,2,0,4,4,3,8,5,3,2,7,2,1,4,22,2,1,0,2,3,5,1,0,0,5,2,0,4,1,2,1,0,1,8,2,7,0,0,2,2,2,0,0,0,3,0,1,0,4,1,3,4,0,2
Acomosus,0,750,1,1,17,0,1,2,1,2,9,1,0,2,2,4,1,0,1,0,8,2,0,1,1,3,1,2,0,2,0,0,0,2,4,6,3,0,0,4,3,3,2,0,6,1,2,3,2,3,1,3,0,2,2,1,0,2,1,2,3,1,0,0,3
Ahypochondriacus,4,0,700,1,1,3,1,1,1,65,2,3,0,0,1,1,0,28,1,0,1,1,0,0,0,2,3,3,0,1,3,5,1,2,2,2,0,0,3,0,1,0,1,5,3,2,2,1,0,1,2,0,26,0,1,0,0,1,1,2,1,1,1,1,2
Ahypogaea,3,3,1,567,1,1,0,2,2,3,1,21,2,1,3,1,0,3,2,0,4,1,0,0,1,4,49,0,2,10,11,37,0,2,2,2,15,0,2,1,2,1,0,0,0,7,4,3,3,0,4,0,3,2,1,5,0,1,0,1,13,22,3,0,2
Aofficinalis,4,11,2,1,902,4,2,2,1,5,4,3,3,0,5,4,1,5,1,1,6,4,3,1,0,4,2,0,1,0,2,3,1,2,3,2,4,0,1,2,6,0,1,0,4,2,3,0,0,2,1,0,1,1,1,1,0,2,3,1,1,1,0,0,1
Athaliana,1,1,0,1,1,225,0,1,90,1,1,1,0,0,1,1,1,2,168,2,1,1,1,2,94,6,1,1,2,0,2,0,1,7,0,1,0,0,0,0,0,0,1,0,3,1,1,0,0,1,0,1,1,99,0,0,0,1,1,0,5,1,1,0,1
Bdistachyon,0,0,0,1,0,1,348,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,36,0,0,2,0,1,71,0,0,2,0,0,0,1,0,13,0,1,0,17,26,0,0,1,0,29,14,0,1,11,0,0,0,1,25,94,88,1,1,1,0,1,12
Bplatyphylla,0,3,0,3,2,0,1,422,1,0,7,5,273,3,7,39,2,2,1,3,3,1,0,3,1,6,4,0,0,1,1,5,0,0,1,7,8,0,2,2,3,0,0,1,12,4,10,0,1,18,1,0,0,0,0,2,0,0,0,4,1,0,10,1,2
Bstricta,2,2,0,1,0,104,1,0,117,4,0,0,1,2,2,1,0,1,88,3,1,1,0,3,121,1,0,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,102,0,1,0,0,0,0,1,0,1,1,0
Bvulgaris,5,2,18,1,6,0,1,0,1,566,2,0,2,2,1,2,5,131,2,2,1,1,0,0,3,5,2,0,0,7,2,2,1,1,3,2,0,0,2,0,0,1,1,5,3,1,2,1,0,0,5,1,121,1,1,3,0,0,2,2,3,1,1,0,2
