true_label,Athaliana,Bdistachyon,Crubella,Esalsugineum,Hvulgare,Osativa,Pvaginatum,Sbicolor,Sviridis,Taestivum
Athaliana,2685,23,1186,938,27,16,2,8,8,16
Bdistachyon,26,2609,24,36,505,339,515,240,505,565
Crubella,1395,15,2365,1004,20,17,2,10,6,19
Esalsugineum,955,32,807,3064,27,25,7,9,5,23
Hvulgare,31,681,18,36,2470,251,404,277,297,1039
Osativa,29,374,66,64,270,2931,358,525,408,209
Pvaginatum,22,622,28,28,347,389,2284,582,746,391
Sbicolor,21,355,41,30,256,575,689,2653,526,297
Sviridis,15,694,27,15,374,426,883,576,1826,405
Taestivum,20,779,24,37,1201,210,482,265,381,2089
