true_label,Acoerulea,Acomosus,Ahypochondriacus,Ahypogaea,Aofficinalis,Athaliana,Bdistachyon,Bplatyphylla,Bstricta,Bvulgaris,Carabica,Carietinum,Cavellana,Ccitriodora,Cclementina,Cillinoinensis,Ckanehirae,Cquinoa,Crubella,Csativus,Dalata,Dcarota,Ecoracana,Egrandis,Esalsugineum,Fvesca,Gmax,Hannuus,Hvulgare,Lalbus,Lervoides,Ljaponicus,Lsativa,Lusitatissimum,Macuminata,Mdomestica,Mesculenta,Msinensis,Mtruncatula,Ncolorata,Oeuropaea,Osativa,Othomaeum,Pamilis,Ppersica,Ptrichocarpa,Ptrifoliata,Pvaginatum,Pvirgatum,Qrubra,Rcommunis,Sbicolor,Soleracea,Sparvula,Spolyrhiza,Spurpurea,Sviridis,Taestivum,Tintermedium,Vdarrowii,Vfaba,Vunguiculata,Vvinifera,Zmarina,Zmays
Acoerulea,229,3,14,5,16,8,5,5,5,24,11,4,6,4,9,6,26,19,7,9,5,30,2,1,4,29,3,6,2,7,14,15,13,3,4,12,4,1,24,6,9,2,1,13,13,5,6,1,3,19,5,1,17,2,1,8,2,2,2,22,12,1,5,13,3
Acomosus,3,335,11,11,40,5,8,14,3,6,10,3,9,13,10,13,5,16,8,3,7,11,12,19,9,6,3,7,11,3,1,7,4,4,11,16,7,5,6,18,11,23,9,1,9,5,10,4,10,6,11,8,8,4,5,3,5,6,6,14,2,3,2,13,9
Ahypochondriacus,22,11,295,6,17,6,2,6,5,40,10,20,2,4,22,5,6,36,1,32,4,13,2,4,1,3,13,17,2,33,27,8,11,2,1,7,4,1,24,3,23,2,0,8,1,4,10,2,1,17,3,2,24,3,3,3,0,1,5,14,19,15,5,3,1
Ahypogaea,8,9,19,135,17,1,4,9,3,6,7,28,5,3,21,16,6,13,7,18,32,15,2,5,4,10,51,2,2,25,19,31,9,5,9,8,44,2,10,6,3,0,4,4,11,10,12,0,3,17,24,2,11,1,1,11,2,2,5,2,14,27,29,15,1
Aofficinalis,30,28,20,9,270,7,6,7,2,37,10,6,5,16,5,9,18,15,11,10,15,24,4,17,9,26,8,10,6,11,17,25,12,21,17,21,2,4,13,15,16,5,5,25,11,2,4,4,4,8,8,5,21,13,8,9,2,5,6,32,11,4,5,16,7
Athaliana,8,6,6,2,7,190,4,1,57,7,2,1,2,3,2,2,1,3,99,16,1,10,1,3,74,12,2,15,1,1,7,1,14,23,1,6,0,0,11,3,3,0,0,0,5,1,2,2,0,2,2,0,4,87,0,1,0,0,1,5,6,5,0,4,1
Bdistachyon,2,4,0,0,1,0,175,0,0,0,1,1,0,16,2,2,5,1,1,0,2,5,50,7,2,4,0,1,45,0,1,1,0,10,4,5,1,22,1,14,1,33,61,0,2,0,1,48,42,0,0,24,2,0,1,1,48,52,52,15,0,0,0,1,36
Bplatyphylla,13,9,18,4,19,1,6,163,0,17,26,5,100,6,9,34,60,25,2,6,18,4,2,8,3,9,9,11,4,6,5,13,9,4,0,13,3,2,12,12,3,3,2,12,15,20,14,4,4,52,1,1,10,1,2,9,1,2,4,22,3,5,24,2,3
Bstricta,2,2,6,5,4,102,1,1,71,2,5,2,1,1,4,2,0,4,57,8,2,10,1,2,65,6,3,7,0,1,9,2,11,15,2,7,3,0,8,3,3,0,5,2,1,2,4,0,1,0,2,0,5,78,2,3,1,1,1,1,4,7,0,12,1
Bvulgaris,36,7,60,5,53,3,5,12,5,211,20,7,8,4,9,6,16,53,4,7,1,13,4,5,4,21,6,17,4,27,18,19,7,4,8,11,4,0,30,5,10,5,3,20,6,10,5,3,0,11,6,3,42,0,3,4,2,2,4,21,12,4,8,7,8
Carabica,7,8,12,5,16,0,7,24,2,18,187,5,17,24,21,11,24,12,3,11,6,8,3,16,6,17,8,1,2,2,2,11,3,6,5,16,10,2,15,26,16,5,1,7,23,20,25,0,1,21,13,2,14,6,2,20,6,0,3,26,4,9,16,8,4
Carietinum,8,4,21,25,4,3,3,2,2,7,1,192,0,0,12,1,3,10,5,27,6,19,2,0,3,3,51,5,2,38,38,15,19,2,4,3,9,1,40,1,10,0,0,4,1,5,10,1,1,13,33,1,6,4,3,5,1,3,4,1,15,39,5,9,0
Cavellana,12,16,5,6,11,5,4,115,0,13,15,2,152,10,13,33,50,16,4,9,15,7,3,6,1,11,5,13,2,6,1,12,4,3,4,13,7,2,10,12,6,2,2,19,29,14,10,0,3,47,3,4,7,1,1,12,1,5,8,28,6,3,23,8,2
Ccitriodora,3,4,6,1,8,2,15,7,0,4,18,0,6,192,7,3,25,4,2,5,1,2,6,173,2,12,3,2,13,2,5,5,1,20,17,6,1,4,5,42,17,8,4,7,6,3,6,3,6,1,3,4,5,6,8,5,2,4,3,21,0,0,8,2,2
Cclementina,8,10,21,13,8,3,2,15,5,8,21,8,11,5,104,22,7,12,1,5,17,32,0,7,3,8,24,2,1,13,8,16,5,3,8,11,22,1,16,8,17,0,4,7,32,23,90,0,1,10,21,0,5,4,4,35,1,1,4,7,6,6,9,7,2
Cillinoinensis,16,8,8,17,20,1,4,31,1,14,21,1,28,2,18,176,50,8,4,7,17,32,8,6,8,8,18,6,2,5,15,7,5,5,8,14,30,2,6,22,5,1,4,3,18,19,19,3,1,23,4,2,5,2,2,35,0,3,4,19,8,5,41,7,2
Ckanehirae,18,4,2,0,11,0,8,16,0,10,14,0,24,19,3,18,628,6,0,2,14,1,5,15,2,15,2,5,1,6,2,15,5,3,5,9,3,1,4,42,6,0,3,17,27,10,0,3,3,31,2,2,2,1,10,6,1,4,5,38,0,1,36,10,5
Cquinoa,28,9,60,6,19,5,4,9,3,83,14,14,16,2,13,12,15,196,4,3,10,18,0,2,0,13,8,14,3,23,13,13,11,5,2,4,8,4,23,2,14,1,4,22,2,9,10,0,1,45,4,2,43,1,4,6,2,6,7,7,10,6,9,1,6
Crubella,8,2,9,3,3,118,4,1,53,1,2,7,4,5,2,0,2,2,142,10,2,12,0,6,89,18,0,10,0,3,6,2,24,14,6,5,2,1,8,4,1,1,2,1,2,3,0,0,1,2,3,0,5,66,4,6,0,1,0,5,9,5,0,7,0
Csativus,21,5,30,11,6,11,1,4,3,13,5,25,4,2,7,2,13,3,10,277,5,3,2,1,9,4,14,0,0,16,33,12,15,4,6,8,1,1,20,5,10,1,0,2,7,7,5,0,0,11,6,0,6,11,2,5,1,0,3,3,8,20,24,8,2
Dalata,5,11,8,27,11,0,9,20,3,5,5,11,18,4,16,13,14,10,2,4,249,3,4,8,1,11,21,1,2,15,6,12,5,4,27,2,21,2,5,5,3,1,2,3,10,25,17,2,2,24,15,3,3,3,1,40,2,0,8,0,9,11,25,5,0
Dcarota,24,9,16,11,21,6,3,3,2,14,6,11,0,2,22,11,0,16,4,3,4,337,3,1,7,12,15,18,1,30,10,11,5,3,5,16,3,3,6,3,8,4,1,2,9,2,20,3,0,4,7,2,8,6,0,19,0,3,3,4,10,11,1,19,3
Ecoracana,6,8,0,1,1,0,68,1,1,2,5,0,1,4,2,2,2,0,0,1,2,3,144,9,3,9,1,0,28,2,0,5,0,3,12,2,0,29,0,13,0,35,119,4,5,1,0,41,35,0,0,42,2,1,5,5,45,21,24,2,0,1,0,5,42
Egrandis,1,19,5,3,9,1,23,7,6,6,21,1,5,177,3,5,13,0,1,5,0,1,10,190,7,8,2,0,9,0,1,2,1,10,17,9,2,2,3,53,11,6,2,7,6,4,4,0,4,2,3,2,2,3,16,5,3,2,6,21,1,0,4,4,8
Esalsugineum,3,4,8,7,9,89,1,4,56,2,3,2,3,0,1,2,1,0,63,6,3,6,2,6,168,10,2,6,2,1,4,2,14,22,6,7,3,0,13,8,5,0,5,0,3,1,6,2,0,0,0,1,3,110,4,6,0,0,0,3,4,5,0,13,2
Fvesca,33,11,11,3,42,11,11,5,4,22,13,0,4,14,10,5,15,8,12,2,9,5,5,9,4,182,2,4,7,8,5,12,3,31,17,27,2,2,6,26,6,6,6,7,22,8,1,3,0,5,5,6,14,6,1,7,3,2,3,32,5,4,4,4,8
Gmax,8,3,17,37,4,1,5,5,1,5,7,25,10,1,17,14,8,14,6,13,31,12,1,4,2,6,186,2,1,34,16,37,11,2,5,4,23,0,13,3,2,1,1,6,15,18,24,0,3,32,18,1,0,1,1,17,1,4,1,2,10,70,36,1,2
Hannuus,11,11,21,1,14,6,0,5,4,8,0,1,6,1,5,4,7,17,8,2,0,17,2,4,8,9,1,421,5,7,10,6,37,9,1,12,1,1,21,4,4,0,0,7,1,1,1,2,0,2,0,1,21,5,2,4,2,5,5,20,9,7,1,12,4
Hvulgare,2,6,1,1,5,0,80,1,2,3,1,0,3,11,2,0,4,1,0,0,0,4,33,4,0,3,0,3,198,1,0,1,2,4,9,6,1,12,3,12,2,27,37,3,0,0,0,43,37,0,0,21,5,1,6,0,41,71,60,8,2,0,0,4,47
Lalbus,10,5,38,10,14,1,2,1,0,22,4,33,1,0,8,2,4,22,0,9,10,16,1,0,0,9,33,7,0,305,20,31,14,2,9,3,3,3,18,2,5,0,0,6,6,4,7,1,1,11,9,0,7,2,3,4,1,4,2,3,21,20,15,4,3
Lervoides,21,10,24,13,20,15,4,2,9,16,4,39,1,1,11,8,6,8,10,20,6,15,1,2,8,5,20,10,2,25,188,17,16,3,0,9,5,5,39,3,16,0,0,4,6,2,4,3,0,8,3,2,17,8,1,6,2,2,1,6,73,32,16,10,2
Ljaponicus,10,4,10,20,29,4,1,5,2,29,21,12,8,4,10,5,14,24,1,15,9,19,3,5,3,26,34,3,3,54,24,126,7,7,10,24,15,0,20,11,8,3,4,8,22,17,15,1,3,20,5,3,19,3,3,9,2,2,2,21,11,15,25,9,4
