species,correct,total,accuracy
_OVERALL_,13647,52429,0.26029487497377407
Acoerulea,222,768,0.2890625
Acomosus,324,880,0.36818181818181817
Ahypochondriacus,315,897,0.3511705685618729
Ahypogaea,140,837,0.16726403823178015
Aofficinalis,307,1034,0.29690522243713735
Athaliana,188,736,0.2554347826086957
Bdistachyon,197,806,0.24441687344913152
Bplatyphylla,144,889,0.16197975253093364
Bstricta,58,573,0.1012216404886562
Bvulgaris,178,938,0.18976545842217485
Carabica,178,831,0.21419975932611313
Carietinum,193,765,0.2522875816993464
Cavellana,157,872,0.18004587155963303
Ccitriodora,200,768,0.2604166666666667
Cclementina,106,790,0.1341772151898734
Cillinoinensis,166,894,0.18568232662192394
Ckanehirae,643,1161,0.553832902670112
Cquinoa,195,913,0.21358159912376778
Crubella,160,714,0.22408963585434175
Csativus,238,754,0.3156498673740053
Dalata,251,814,0.3083538083538084
Dcarota,304,826,0.36803874092009686
Ecoracana,149,805,0.18509316770186335
Egrandis,189,764,0.24738219895287958
Esalsugineum,149,722,0.20637119113573407
Fvesca,222,770,0.2883116883116883
Gmax,179,861,0.20789779326364694
Hannuus,429,824,0.5206310679611651
Hvulgare,191,834,0.2290167865707434
Lalbus,318,811,0.3921085080147966
Lervoides,177,845,0.20946745562130178
Ljaponicus,168,865,0.19421965317919074
Lsativa,199,702,0.28347578347578345
Lusitatissimum,352,687,0.512372634643377
Macuminata,320,782,0.4092071611253197
Mdomestica,107,772,0.13860103626943004
Mesculenta,230,848,0.27122641509433965
Msinensis,61,634,0.09621451104100946
Mtruncatula,182,738,0.24661246612466126
Ncolorata,354,963,0.367601246105919
Oeuropaea,107,651,0.16436251920122888
Osativa,213,765,0.2784313725490196
Othomaeum,189,783,0.2413793103448276
Pamilis,228,769,0.2964889466840052
Ppersica,114,752,0.15159574468085107
Ptrichocarpa,164,809,0.2027194066749073
Ptrifoliata,126,783,0.16091954022988506
Pvaginatum,139,800,0.17375
Pvirgatum,120,785,0.15286624203821655
Qrubra,283,911,0.3106476399560922
Rcommunis,113,593,0.1905564924114671
Sbicolor,112,788,0.14213197969543148
Soleracea,207,905,0.2287292817679558
Sparvula,157,723,0.21715076071922546
Spolyrhiza,396,638,0.6206896551724138
Spurpurea,142,805,0.1763975155279503
Sviridis,97,751,0.12916111850865514
Taestivum,133,802,0.1658354114713217
Tintermedium,120,805,0.14906832298136646
Vdarrowii,391,940,0.41595744680851066
Vfaba,142,780,0.18205128205128204
Vunguiculata,131,788,0.16624365482233502
Vvinifera,354,918,0.38562091503267976
Zmarina,407,828,0.4915458937198068
Zmays,222,870,0.25517241379310346
