true_label,Acipenser ruthenus,Acropora millepora,Anguilla rostrata,Astatotilapia calliptera,Astyanax mexicanus,Biomphalaria glabrata,Brienomyrus brachyistius,Bubalus bubalis,Callithrix jacchus,Carassius gibelio,Cavia porcellus,Cervus canadensis,Choloepus didactylus,Clarias gariepinus,Clupea harengus,Conger conger,Crassostrea virginica,Ctenopharyngodon idella,Dasypus novemcinctus,Dreissena polymorpha,Elephas maximus indicus,Engraulis encrasicolus,Esox lucius,Fundulus heteroclitus,Gambusia affinis,Girardinichthys multiradiatus,Gopherus evgoodei,Haliotis rufescens,Hemicordylus capensis,Hippopotamus amphibius kiboko,Homo sapiens,Hoplias malabaricus,Ictalurus furcatus,Larimichthys crocea,Lates calcarifer,Lingula anatina,Lutra lutra,Macaca fascicularis,Manis pentadactyla,Mauremys reevesii,Melanotaenia boesemani,Mercenaria mercenaria,Micropterus dolomieu,Monodelphis domestica,Mus musculus,Mya arenaria,Mytilus trossulus,Necator americanus,Neoarius graeffei,Nycticebus coucang,Pangasianodon hypophthalmus,Panthera leo,Pimephales promelas,Pocillopora verrucosa,Pygocentrus nattereri,Rhineura floridana,Salvelinus sp. IW2-2015,Scleropages formosus,Sebastes umbrosus,Siniperca chuatsi,Strongylocentrotus purpuratus,Symphalangus syndactylus,Triplophysa dalaica,Xyrauchen texanus,Zalophus californianus
Acipenser ruthenus,81,1,6,1,5,2,8,0,2,20,1,0,1,3,3,5,3,9,1,3,0,7,1,3,2,2,1,5,3,0,2,5,7,1,3,4,1,2,1,3,8,4,4,0,0,4,1,1,4,1,4,0,3,3,6,2,6,3,5,4,4,2,5,17,0
Acropora millepora,1,62,2,1,0,2,1,1,1,6,1,1,1,0,2,3,6,3,0,9,0,4,2,1,0,1,0,5,1,0,1,0,1,0,0,2,0,1,0,2,1,9,1,0,1,5,4,11,0,0,0,0,0,28,0,0,2,0,1,0,10,1,3,3,0
Anguilla rostrata,15,4,21,1,5,0,6,2,0,12,0,1,1,1,4,16,0,1,0,5,0,7,14,2,0,0,1,12,1,0,3,1,1,1,1,8,1,0,2,7,2,3,4,0,0,2,1,1,1,1,3,1,1,0,2,1,7,2,3,0,2,0,2,14,0
Astatotilapia calliptera,11,1,3,12,4,1,4,0,0,24,0,0,0,2,3,4,1,7,0,0,1,1,1,7,8,10,1,1,2,0,1,3,3,4,10,1,0,1,0,1,10,3,4,0,0,1,1,3,1,0,1,0,2,0,3,0,3,1,1,7,1,1,2,14,0
Astyanax mexicanus,7,0,2,2,28,1,3,0,0,16,1,0,1,11,0,2,0,3,0,1,1,2,1,10,5,2,0,0,2,0,0,11,2,6,10,0,0,0,0,0,4,1,2,0,1,2,1,0,5,0,6,0,2,0,12,1,2,2,4,6,0,1,3,8,0
Biomphalaria glabrata,12,4,2,2,0,59,3,0,0,10,0,1,0,1,3,0,7,1,0,8,0,5,2,2,2,0,0,9,0,0,0,1,1,1,0,1,0,0,0,0,1,14,0,2,0,8,14,2,1,0,1,1,2,2,0,0,2,0,0,0,5,0,3,6,0
Brienomyrus brachyistius,11,6,5,3,0,1,21,1,0,22,0,0,1,2,2,6,3,1,1,6,0,7,2,7,1,1,0,5,4,1,1,2,2,4,6,3,2,2,0,6,4,9,1,0,0,6,1,2,3,0,1,0,1,2,2,2,0,5,2,4,1,0,2,14,0
Bubalus bubalis,4,0,0,0,0,2,2,8,16,4,5,12,4,0,0,1,0,0,7,0,6,1,0,1,0,0,4,1,5,13,7,1,0,0,0,0,6,9,6,8,1,0,1,3,10,0,1,0,1,8,1,11,0,0,0,2,0,1,1,1,0,6,0,1,9
Callithrix jacchus,3,0,0,0,0,1,1,3,17,1,9,5,10,0,2,0,0,0,4,0,3,0,1,0,0,2,3,0,8,6,12,2,0,1,0,1,10,10,9,13,0,0,0,6,10,0,0,0,1,8,3,6,0,0,0,8,1,1,1,1,0,21,0,3,9
Carassius gibelio,25,5,1,9,7,2,6,3,1,69,0,0,0,9,6,0,1,12,0,5,0,6,6,2,5,5,0,9,5,0,0,7,2,2,6,3,0,1,0,2,2,5,3,0,0,6,2,0,5,1,5,0,13,3,9,0,3,1,4,4,1,0,6,32,0
