true_label,Acoerulea,Acomosus,Ahypochondriacus,Ahypogaea,Aofficinalis,Athaliana,Bdistachyon,Bplatyphylla,Bstricta,Bvulgaris,Carabica,Carietinum,Cavellana,Ccitriodora,Cclementina,Cillinoinensis,Ckanehirae,Cquinoa,Crubella,Csativus,Dalata,Dcarota,Ecoracana,Egrandis,Esalsugineum,Fvesca,Gmax,Hannuus,Hvulgare,Lalbus,Lervoides,Ljaponicus,Lsativa,Lusitatissimum,Macuminata,Mdomestica,Mesculenta,Msinensis,Mtruncatula,Ncolorata,Oeuropaea,Osativa,Othomaeum,Pamilis,Ppersica,Ptrichocarpa,Ptrifoliata,Pvaginatum,Pvirgatum,Qrubra,Rcommunis,Sbicolor,Soleracea,Sparvula,Spolyrhiza,Spurpurea,Sviridis,Taestivum,Tintermedium,Vdarrowii,Vfaba,Vunguiculata,Vvinifera,Zmarina,Zmays
Acoerulea,104,1,5,1,0,0,0,1,0,1,0,0,1,1,1,5,3,7,0,1,1,7,0,0,0,13,0,0,0,1,2,2,1,1,0,0,0,0,1,3,1,0,0,5,6,0,3,0,0,5,1,0,1,0,0,2,0,1,0,3,2,0,2,5,0
Acomosus,0,127,1,2,9,0,0,1,0,0,0,0,2,6,5,4,2,0,0,2,1,1,0,10,0,1,0,0,0,0,2,1,0,1,1,6,2,0,0,5,5,1,0,0,4,1,2,2,0,0,0,0,0,1,2,3,0,0,0,3,0,0,0,0,0
Ahypochondriacus,1,0,153,1,4,0,0,1,0,16,0,1,1,0,2,1,0,11,0,1,0,3,0,0,0,0,0,0,0,3,6,2,0,0,0,1,0,0,0,1,1,0,0,5,0,1,3,0,0,0,1,0,5,0,0,0,0,0,0,0,3,0,1,1,0
Ahypogaea,6,2,3,88,0,0,0,3,0,0,0,5,2,0,4,2,2,2,1,0,0,2,1,0,0,0,5,0,1,13,8,13,0,0,0,2,2,0,1,0,4,0,0,0,3,2,10,0,0,4,4,0,0,0,0,4,0,0,0,0,13,3,2,0,0
Aofficinalis,3,10,0,2,179,0,0,1,0,2,1,1,0,0,0,3,0,0,0,0,0,3,1,2,0,2,0,0,1,1,1,2,1,1,4,4,3,0,0,4,1,1,0,1,1,1,3,0,0,0,1,0,1,0,0,3,0,0,0,1,2,1,2,1,1
Athaliana,0,0,0,1,0,44,0,0,32,0,0,1,2,0,0,0,0,0,37,1,0,0,0,0,28,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
Bdistachyon,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,7,0,0,0,0,0,0,1,0,1,0,2,1,1,11,0,0,0,0,12,6,0,0,0,0,0,0,0,13,10,23,0,0,0,0,0,1
Bplatyphylla,1,1,2,4,0,0,0,75,0,0,2,1,55,1,6,11,8,0,0,1,1,0,0,0,0,1,0,0,0,1,1,3,1,0,0,2,0,0,0,2,8,0,0,0,4,0,4,0,0,14,2,0,1,0,0,2,0,0,0,2,1,1,2,1,1
Bstricta,0,1,0,1,1,19,0,1,35,0,0,0,0,0,0,0,0,0,27,0,0,0,1,0,28,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,2,0,0,2,1
Bvulgaris,5,0,17,1,3,0,0,1,0,141,1,1,0,0,0,0,0,22,0,0,0,1,0,0,0,2,0,0,0,1,1,2,0,0,0,2,0,0,1,2,0,0,1,3,0,0,0,0,1,0,1,0,21,0,0,0,1,0,0,0,2,0,0,1,0
