n_samples,rank,eigenvalue,cumulative_variance
16384,1,1.3519074,0.75786597
16384,2,0.117131926,0.82352895
16384,3,0.09195001,0.8750752
16384,4,0.063263014,0.91053987
16384,5,0.03201173,0.92848533
16384,6,0.012355485,0.9354117
16384,7,0.010116837,0.9410831
16384,8,0.009722387,0.9465333
16384,9,0.008344855,0.9512114
16384,10,0.0061288043,0.9546471
16384,11,0.005326847,0.9576333
16384,12,0.0048184916,0.96033454
16384,13,0.004464709,0.9628374
16384,14,0.00404681,0.965106
16384,15,0.003678585,0.9671682
16384,16,0.0030853914,0.9688979
16384,17,0.0029514849,0.97055244
16384,18,0.0027698008,0.97210515
16384,19,0.0026266787,0.9735776
16384,20,0.002315364,0.97487557
16384,21,0.0022168763,0.9761183
16384,22,0.0021315892,0.9773133
16384,23,0.0019203009,0.9783898
16384,24,0.0018385123,0.9794204
16384,25,0.0017270496,0.9803886
16384,26,0.0014594374,0.9812067
16384,27,0.0014326372,0.9820098
16384,28,0.0013922745,0.98279035
16384,29,0.0013050555,0.98352194
16384,30,0.0012594895,0.984228
16384,31,0.0011952368,0.98489803
16384,32,0.0011516848,0.98554367
16384,33,0.0011025093,0.9861617
16384,34,0.0010705487,0.98676187
16384,35,0.001004622,0.9873251
16384,36,0.0009259741,0.98784417
16384,37,0.0008702086,0.988332
16384,38,0.00083445996,0.98879975
16384,39,0.000747281,0.98921865
16384,40,0.00070848555,0.9896158
16384,41,0.0006857779,0.99000025
16384,42,0.00065053685,0.9903649
16384,43,0.0006499846,0.9907293
16384,44,0.0006020831,0.9910668
16384,45,0.0005811435,0.9913926
16384,46,0.00053810835,0.9916943
16384,47,0.000522701,0.9919873
16384,48,0.00049303466,0.9922637
16384,49,0.00048221194,0.992534
16384,50,0.00047605787,0.99280083
16384,51,0.00043600524,0.9930453
16384,52,0.00042466065,0.99328333
16384,53,0.0004042841,0.99350995
16384,54,0.0003931655,0.99373037
16384,55,0.0003749953,0.9939406
16384,56,0.00036520066,0.99414533
16384,57,0.0003527236,0.99434304
16384,58,0.00034067017,0.994534
16384,59,0.0003249764,0.99471617
16384,60,0.00031873013,0.99489486
16384,61,0.00031121977,0.9950693
16384,62,0.00029263916,0.99523336
16384,63,0.00028691473,0.9953942
16384,64,0.00027834045,0.9955502
16384,65,0.0002696218,0.9957014
16384,66,0.00026825277,0.99585176
16384,67,0.00026303472,0.9959992
16384,68,0.00025463657,0.99614197
16384,69,0.00024332234,0.99627835
16384,70,0.00023133591,0.99640805
16384,71,0.00022601926,0.99653476
16384,72,0.00021598602,0.9966558
16384,73,0.00021375727,0.9967756
16384,74,0.00020451572,0.99689025
16384,75,0.00020004007,0.99700236
16384,76,0.0001952622,0.9971118
16384,77,0.00018822752,0.9972173
16384,78,0.00018657905,0.9973219
16384,79,0.00018046121,0.99742305
16384,80,0.00017574025,0.9975216
16384,81,0.00016664187,0.997615
16384,82,0.0001641228,0.997707
16384,83,0.00015961006,0.9977965
16384,84,0.00015403534,0.99788284
16384,85,0.00015220394,0.99796814
16384,86,0.00014441604,0.9980491
16384,87,0.00014316449,0.9981293
16384,88,0.00013858803,0.998207
16384,89,0.0001353581,0.99828285
16384,90,0.00012998053,0.9983557
16384,91,0.0001221049,0.9984241
16384,92,0.00012099345,0.99849194
16384,93,0.00011759962,0.99855787
16384,94,0.00011683434,0.9986234
16384,95,0.000112547714,0.9986865
16384,96,0.000109127126,0.99874765
16384,97,0.00010745986,0.9988079
16384,98,0.00010574863,0.9988672
16384,99,0.000102806946,0.99892485
16384,100,9.935365e-05,0.9989805
16384,101,9.5233925e-05,0.9990339
16384,102,9.43823e-05,0.99908686
16384,103,9.066773e-05,0.9991377
16384,104,8.873516e-05,0.99918747
16384,105,8.797458e-05,0.99923676
16384,106,8.642255e-05,0.9992852
16384,107,8.206338e-05,0.99933124
16384,108,7.911685e-05,0.9993756
16384,109,7.719356e-05,0.99941885
16384,110,7.5577045e-05,0.99946123
16384,111,7.320299e-05,0.99950224
16384,112,7.1385446e-05,0.99954224
16384,113,6.9730406e-05,0.99958134
16384,114,6.7784735e-05,0.99961936
16384,115,6.5174834e-05,0.9996559
16384,116,6.220005e-05,0.9996908
16384,117,6.1876715e-05,0.99972546
16384,118,5.9878403e-05,0.999759
16384,119,5.756895e-05,0.99979126
16384,120,5.3473283e-05,0.99982125
16384,121,5.278746e-05,0.9998508
16384,122,5.1139414e-05,0.9998795
16384,123,4.81072e-05,0.9999064
16384,124,4.608566e-05,0.9999322
16384,125,4.4393015e-05,0.99995714
16384,126,4.0426672e-05,0.9999798
16384,127,3.5144898e-05,0.9999995
16384,128,1.836742e-12,0.9999995
65536,1,1.3457989,0.75103766
65536,2,0.121267684,0.8187124
65536,3,0.09933907,0.8741497
65536,4,0.06371085,0.9097042
65536,5,0.032654125,0.9279272
65536,6,0.0127209,0.9350262
65536,7,0.010132243,0.9406806
65536,8,0.00975592,0.94612503
65536,9,0.008433143,0.95083123
65536,10,0.0061864886,0.95428365
65536,11,0.0053187488,0.95725185
65536,12,0.004766268,0.9599117
65536,13,0.0045051603,0.9624258
65536,14,0.0040298956,0.9646748
65536,15,0.0036468133,0.9667099
65536,16,0.0032259012,0.96851015
65536,17,0.0029616086,0.9701629
65536,18,0.0028122137,0.9717323
65536,19,0.0026221464,0.9731956
65536,20,0.0023387568,0.9745008
65536,21,0.0022845862,0.9757757
65536,22,0.0021304882,0.97696465
65536,23,0.0019442665,0.9780497
65536,24,0.0019224256,0.9791225
65536,25,0.0017332266,0.9800898
65536,26,0.0015501303,0.9809548
65536,27,0.0014525506,0.98176545
65536,28,0.00140364,0.9825488
65536,29,0.0013366479,0.9832947
65536,30,0.0012784415,0.9840082
65536,31,0.0012063651,0.9846814
65536,32,0.0011578333,0.98532754
65536,33,0.0010967021,0.98593956
65536,34,0.0010817446,0.98654324
65536,35,0.0009886855,0.987095
65536,36,0.00094238063,0.9876209
65536,37,0.0008798762,0.9881119
65536,38,0.0008348836,0.98857784
65536,39,0.0007468907,0.98899466
65536,40,0.00072153297,0.98939735
65536,41,0.00069043186,0.98978263
65536,42,0.0006651639,0.99015385
65536,43,0.0006539143,0.99051875
65536,44,0.00062939676,0.99087
65536,45,0.0005899355,0.9911992
65536,46,0.00055894663,0.9915111
65536,47,0.00055706385,0.991822
65536,48,0.0005053356,0.992104
65536,49,0.00049279456,0.992379
65536,50,0.00047680165,0.9926451
65536,51,0.00045478612,0.9928989
65536,52,0.00043800983,0.9931433
65536,53,0.0004303919,0.9933835
65536,54,0.00039707375,0.99360514
65536,55,0.00038064987,0.99381757
65536,56,0.00037402203,0.9940263
65536,57,0.0003713771,0.99423355
65536,58,0.00035142805,0.99442965
65536,59,0.00032401163,0.9946105
65536,60,0.00031798097,0.99478793
65536,61,0.00031129443,0.9949617
65536,62,0.000300476,0.99512935
65536,63,0.00029783577,0.9952956
65536,64,0.00028171414,0.9954528
65536,65,0.00027762202,0.99560773
65536,66,0.0002727401,0.99575996
65536,67,0.0002710241,0.99591124
65536,68,0.00026260925,0.9960578
65536,69,0.00024469956,0.99619436
65536,70,0.00024242839,0.99632967
65536,71,0.0002366591,0.99646175
65536,72,0.00021910471,0.996584
65536,73,0.000216557,0.9967049
65536,74,0.00021292515,0.9968237
65536,75,0.00021209965,0.9969421
65536,76,0.00019146777,0.997049
65536,77,0.0001902857,0.9971552
65536,78,0.00018803377,0.99726015
