species,correct,total,accuracy
_OVERALL_,6009,52429,0.11461214213507792
Acipenser ruthenus,202,1181,0.1710414902624894
Acropora millepora,215,839,0.2562574493444577
Anguilla rostrata,32,813,0.03936039360393604
Astatotilapia calliptera,31,793,0.03909205548549811
Astyanax mexicanus,174,808,0.21534653465346534
Biomphalaria glabrata,220,783,0.280970625798212
Brienomyrus brachyistius,68,817,0.0832313341493268
Bubalus bubalis,32,766,0.04177545691906005
Callithrix jacchus,54,851,0.06345475910693302
Carassius gibelio,153,1290,0.1186046511627907
Cavia porcellus,32,747,0.0428380187416332
Cervus canadensis,41,724,0.05662983425414365
Choloepus didactylus,28,767,0.03650586701434159
Clarias gariepinus,35,718,0.04874651810584958
Clupea harengus,37,739,0.05006765899864682
Conger conger,28,790,0.035443037974683546
Crassostrea virginica,111,841,0.13198573127229488
Ctenopharyngodon idella,29,788,0.03680203045685279
Dasypus novemcinctus,36,714,0.05042016806722689
Dreissena polymorpha,337,1126,0.29928952042628776
Elephas maximus indicus,23,725,0.031724137931034485
Engraulis encrasicolus,89,788,0.11294416243654823
Esox lucius,20,776,0.02577319587628866
Fundulus heteroclitus,61,780,0.0782051282051282
Gambusia affinis,35,732,0.04781420765027322
Girardinichthys multiradiatus,31,702,0.04415954415954416
Gopherus evgoodei,85,691,0.12301013024602026
Haliotis rufescens,382,955,0.4
Hemicordylus capensis,187,882,0.21201814058956917
Hippopotamus amphibius kiboko,45,732,0.06147540983606557
Homo sapiens,56,861,0.06504065040650407
Hoplias malabaricus,53,788,0.06725888324873096
Ictalurus furcatus,25,721,0.03467406380027739
Larimichthys crocea,36,693,0.05194805194805195
Lates calcarifer,26,720,0.03611111111111111
Lingula anatina,26,694,0.037463976945244955
Lutra lutra,41,729,0.056241426611796985
Macaca fascicularis,42,761,0.05519053876478318
Manis pentadactyla,37,693,0.05339105339105339
Mauremys reevesii,187,912,0.2050438596491228
Melanotaenia boesemani,32,723,0.04426002766251729
Mercenaria mercenaria,307,1155,0.2658008658008658
Micropterus dolomieu,32,722,0.0443213296398892
Monodelphis domestica,143,768,0.18619791666666666
Mus musculus,86,843,0.10201660735468565
Mya arenaria,168,1093,0.1537053979871912
Mytilus trossulus,382,1004,0.3804780876494024
Necator americanus,358,788,0.4543147208121827
Neoarius graeffei,36,779,0.04621309370988447
Nycticebus coucang,56,753,0.07436918990703852
Pangasianodon hypophthalmus,45,685,0.06569343065693431
Panthera leo,31,700,0.04428571428571428
Pimephales promelas,22,774,0.028423772609819122
Pocillopora verrucosa,162,702,0.23076923076923078
Pygocentrus nattereri,68,794,0.08564231738035265
Rhineura floridana,110,759,0.14492753623188406
Salvelinus sp. IW2-2015,48,727,0.06602475928473177
Scleropages formosus,138,750,0.184
Sebastes umbrosus,63,748,0.08422459893048129
Siniperca chuatsi,24,736,0.03260869565217391
Strongylocentrotus purpuratus,104,756,0.13756613756613756
Symphalangus syndactylus,68,851,0.0799059929494712
Triplophysa dalaica,31,703,0.044096728307254626
Xyrauchen texanus,72,1133,0.06354810238305383
Zalophus californianus,41,753,0.05444887118193891
