n_samples,rank,eigenvalue,cumulative_variance
16384,1,0.4046432,0.49803275
16384,2,0.048656914,0.55791944
16384,3,0.04403201,0.61211383
16384,4,0.03522133,0.65546405
16384,5,0.026408028,0.68796694
16384,6,0.019526517,0.7120001
16384,7,0.01753575,0.733583
16384,8,0.01242025,0.7488698
16384,9,0.012005203,0.7636457
16384,10,0.00924321,0.7750222
16384,11,0.0075524976,0.7843178
16384,12,0.006767439,0.7926471
16384,13,0.0065118806,0.8006619
16384,14,0.0057177907,0.8076993
16384,15,0.004729337,0.8135202
16384,16,0.004595086,0.8191758
16384,17,0.0043256227,0.8244997
16384,18,0.003978111,0.82939595
16384,19,0.003773741,0.83404064
16384,20,0.0035521768,0.83841264
16384,21,0.0033060317,0.8424817
16384,22,0.0031966213,0.84641606
16384,23,0.0030585693,0.8501805
16384,24,0.002847011,0.8536846
16384,25,0.0027546291,0.857075
16384,26,0.0026167603,0.86029565
16384,27,0.0025670815,0.8634552
16384,28,0.0024231973,0.8664376
16384,29,0.002264892,0.8692252
16384,30,0.0021653906,0.87189037
16384,31,0.0021105832,0.87448806
16384,32,0.0020426481,0.8770021
16384,33,0.0020205355,0.879489
16384,34,0.0018080698,0.88171434
16384,35,0.0017419956,0.8838584
16384,36,0.0017118901,0.88596535
16384,37,0.0016786291,0.8880314
16384,38,0.0016430514,0.8900537
16384,39,0.001574166,0.89199114
16384,40,0.0015581785,0.8939089
16384,41,0.0015071279,0.8957639
16384,42,0.0014051809,0.89749336
16384,43,0.0013386178,0.89914095
16384,44,0.001294361,0.90073407
16384,45,0.0012822703,0.9023123
16384,46,0.001244138,0.9038436
16384,47,0.0012096602,0.90533245
16384,48,0.0011920785,0.9067997
16384,49,0.0011413337,0.90820444
16384,50,0.001116974,0.9095792
16384,51,0.0010764869,0.91090417
16384,52,0.001058405,0.9122068
16384,53,0.0010286535,0.9134729
16384,54,0.0010056151,0.9147106
16384,55,0.0009494238,0.91587913
16384,56,0.0009251295,0.91701776
16384,57,0.00090662774,0.9181336
16384,58,0.0008814089,0.9192184
16384,59,0.0008641085,0.92028195
16384,60,0.00085521495,0.92133456
16384,61,0.00082451414,0.9223494
16384,62,0.0008018041,0.92333627
16384,63,0.0007940417,0.92431355
16384,64,0.00076292356,0.92525256
16384,65,0.0007469821,0.92617196
16384,66,0.0007426988,0.92708606
16384,67,0.0007242869,0.9279775
16384,68,0.0007132783,0.9288554
16384,69,0.00069886877,0.9297156
16384,70,0.0006902488,0.9305651
16384,71,0.000685591,0.93140894
16384,72,0.0006681588,0.9322313
16384,73,0.0006604146,0.93304414
16384,74,0.000636701,0.93382776
16384,75,0.0006260095,0.93459827
16384,76,0.00061601703,0.93535644
16384,77,0.00061361335,0.9361117
16384,78,0.0005965389,0.9368459
16384,79,0.00057813333,0.93755746
16384,80,0.00056147546,0.9382485
16384,81,0.0005529348,0.9389291
16384,82,0.0005489221,0.9396047
16384,83,0.00054282625,0.9402728
16384,84,0.0005387292,0.94093585
16384,85,0.00052183296,0.9415781
16384,86,0.0005126029,0.942209
16384,87,0.00050366827,0.9428289
16384,88,0.00049881736,0.9434428
16384,89,0.00048253612,0.9440367
16384,90,0.00047785186,0.94462484
16384,91,0.00046675478,0.9451993
16384,92,0.0004500617,0.9457532
16384,93,0.00044691333,0.94630325
16384,94,0.00044219996,0.9468475
16384,95,0.00043216837,0.9473794
16384,96,0.0004302975,0.947909
16384,97,0.00042388577,0.9484307
16384,98,0.0004192844,0.9489468
16384,99,0.00041533305,0.94945794
16384,100,0.00040491874,0.9499563
16384,101,0.00040025054,0.95044893
16384,102,0.0003974418,0.9509381
16384,103,0.00039002608,0.95141816
16384,104,0.00037887585,0.9518845
16384,105,0.0003750409,0.9523461
16384,106,0.00036706994,0.9527979
16384,107,0.00036270462,0.9532443
16384,108,0.0003509475,0.9536763
16384,109,0.00034891558,0.95410573
16384,110,0.00034573136,0.95453125
16384,111,0.00034182402,0.95495194
16384,112,0.00033624936,0.9553658
16384,113,0.00033314526,0.9557758
16384,114,0.00032381847,0.9561744
16384,115,0.00032255694,0.9565714
16384,116,0.00031942083,0.95696455
16384,117,0.000316524,0.9573541
16384,118,0.00030783287,0.95773304
16384,119,0.00030450223,0.9581078
16384,120,0.00029942702,0.95847636
16384,121,0.00029916488,0.9588446
16384,122,0.00029466287,0.9592073
16384,123,0.00029051775,0.95956486
16384,124,0.0002876874,0.959919
16384,125,0.0002825109,0.9602667
16384,126,0.00027552104,0.9606058
16384,127,0.0002750071,0.9609443
16384,128,0.00027351038,0.96128094
16384,129,0.00027084764,0.9616143
16384,130,0.00026528895,0.9619408
16384,131,0.0002644819,0.9622663
16384,132,0.00025826495,0.9625842
16384,133,0.00025646732,0.96289986
16384,134,0.00025310242,0.96321136
16384,135,0.00025125904,0.9635206
16384,136,0.00024792366,0.9638257
16384,137,0.00024387796,0.9641259
16384,138,0.00024312105,0.9644251
16384,139,0.00024050157,0.9647211
16384,140,0.00023749177,0.9650134
16384,141,0.00023606667,0.96530396
16384,142,0.0002344785,0.96559256
16384,143,0.0002295011,0.965875
16384,144,0.00022536825,0.9661524
16384,145,0.00022342216,0.96642745
16384,146,0.00022028525,0.9666986
16384,147,0.00021914339,0.9669683
16384,148,0.00021736675,0.9672358
16384,149,0.00021544239,0.967501
16384,150,0.00021391016,0.96776426
16384,151,0.00021018575,0.96802294
16384,152,0.0002078845,0.9682788
16384,153,0.00020422132,0.9685302
16384,154,0.00020115045,0.9687778
16384,155,0.00019881513,0.96902245
16384,156,0.00019710237,0.96926504
16384,157,0.00019445813,0.96950436
16384,158,0.00019242114,0.96974117
16384,159,0.00019110813,0.96997637
16384,160,0.00018802077,0.97020775
16384,161,0.00018663329,0.97043747
16384,162,0.00018333443,0.97066313
16384,163,0.00018270484,0.970888
16384,164,0.00018058861,0.9711103
16384,165,0.00017993052,0.9713317
16384,166,0.0001766848,0.97154915
16384,167,0.00017566571,0.97176534
16384,168,0.00017457647,0.9719802
16384,169,0.00017136292,0.97219115
16384,170,0.00016984607,0.9724002
16384,171,0.00016813399,0.97260714
16384,172,0.00016758034,0.97281337
16384,173,0.00016558138,0.97301716
16384,174,0.00016282698,0.97321755
16384,175,0.00016187008,0.9734168
16384,176,0.0001609607,0.97361493
16384,177,0.00015938612,0.9738111
16384,178,0.0001583152,0.97400594
16384,179,0.00015725271,0.9741995
16384,180,0.00015455335,0.9743897
16384,181,0.00015319708,0.9745782
16384,182,0.0001513165,0.97476447
16384,183,0.00014945887,0.9749484
16384,184,0.00014743132,0.97512984
16384,185,0.00014719224,0.975311
16384,186,0.0001463616,0.9754911
16384,187,0.00014525995,0.9756699
16384,188,0.00014439499,0.97584766
16384,189,0.00014259723,0.9760232
16384,190,0.00014052958,0.97619617
16384,191,0.00013896998,0.97636724
16384,192,0.00013751209,0.9765365
16384,193,0.00013664557,0.9767047
16384,194,0.00013547734,0.9768715
16384,195,0.00013409059,0.97703654
16384,196,0.00013237807,0.9771995
16384,197,0.00013102943,0.9773608
16384,198,0.00012987906,0.97752064
16384,199,0.00012914508,0.9776796
16384,200,0.00012832042,0.97783756
16384,201,0.00012601029,0.97799265
16384,202,0.00012527143,0.97814685
16384,203,0.00012450438,0.9783001
16384,204,0.00012386,0.97845256
16384,205,0.0001222966,0.97860307
16384,206,0.00012130751,0.9787524
16384,207,0.00012022923,0.9789004
16384,208,0.00011965849,0.97904766
16384,209,0.000118418226,0.9791934
16384,210,0.000118084805,0.9793387
16384,211,0.00011664886,0.9794823
16384,212,0.00011467499,0.97962344
16384,213,0.00011436405,0.9797642
16384,214,0.00011379728,0.9799043
16384,215,0.00011332517,0.98004377
