true_label,Acipenser ruthenus,Acropora millepora,Anguilla rostrata,Astatotilapia calliptera,Astyanax mexicanus,Biomphalaria glabrata,Brienomyrus brachyistius,Bubalus bubalis,Callithrix jacchus,Carassius gibelio,Cavia porcellus,Cervus canadensis,Choloepus didactylus,Clarias gariepinus,Clupea harengus,Conger conger,Crassostrea virginica,Ctenopharyngodon idella,Dasypus novemcinctus,Dreissena polymorpha,Elephas maximus indicus,Engraulis encrasicolus,Esox lucius,Fundulus heteroclitus,Gambusia affinis,Girardinichthys multiradiatus,Gopherus evgoodei,Haliotis rufescens,Hemicordylus capensis,Hippopotamus amphibius kiboko,Homo sapiens,Hoplias malabaricus,Ictalurus furcatus,Larimichthys crocea,Lates calcarifer,Lingula anatina,Lutra lutra,Macaca fascicularis,Manis pentadactyla,Mauremys reevesii,Melanotaenia boesemani,Mercenaria mercenaria,Micropterus dolomieu,Monodelphis domestica,Mus musculus,Mya arenaria,Mytilus trossulus,Necator americanus,Neoarius graeffei,Nycticebus coucang,Pangasianodon hypophthalmus,Panthera leo,Pimephales promelas,Pocillopora verrucosa,Pygocentrus nattereri,Rhineura floridana,Salvelinus sp. IW2-2015,Scleropages formosus,Sebastes umbrosus,Siniperca chuatsi,Strongylocentrotus purpuratus,Symphalangus syndactylus,Triplophysa dalaica,Xyrauchen texanus,Zalophus californianus
Acipenser ruthenus,412,6,32,17,22,18,33,2,3,52,1,0,1,20,17,20,10,15,2,8,0,19,28,12,15,12,4,13,28,2,1,12,21,7,7,16,1,0,2,20,12,13,11,5,3,9,6,3,13,2,13,0,15,7,20,16,29,11,6,9,8,1,13,42,3
Acropora millepora,6,290,5,1,0,18,6,1,1,2,1,0,1,0,6,2,27,2,0,27,0,3,1,1,1,0,1,22,6,0,0,1,2,0,1,24,0,1,0,1,0,41,0,1,0,19,13,39,2,3,0,1,1,203,2,6,5,2,1,1,24,2,3,7,2
Anguilla rostrata,71,16,73,17,8,6,47,1,2,36,2,1,1,7,37,58,9,9,1,13,0,31,30,10,9,9,5,19,14,0,3,6,10,2,3,8,1,0,1,16,10,8,12,3,7,7,2,4,8,1,6,1,11,9,6,9,33,18,5,15,3,3,9,30,1
Astatotilapia calliptera,38,8,6,47,6,7,16,1,3,63,2,1,0,16,16,5,2,21,2,4,0,28,15,27,37,35,2,8,8,1,1,19,13,28,35,8,1,1,1,12,30,2,25,2,3,2,3,2,13,0,6,0,13,3,21,10,14,10,19,25,0,1,18,26,1
Astyanax mexicanus,32,2,9,10,224,2,3,1,1,47,0,1,2,37,5,4,1,22,1,6,1,6,10,15,12,9,1,5,6,2,2,51,24,14,10,0,2,0,0,6,11,1,11,2,0,3,6,1,16,1,30,0,9,1,47,6,10,9,21,8,3,1,6,18,1
Biomphalaria glabrata,20,18,9,3,2,342,6,0,1,16,0,0,0,1,4,2,31,4,0,26,1,7,7,2,2,1,0,32,1,1,0,2,6,1,0,12,3,1,1,2,2,49,0,1,1,29,50,7,1,1,1,0,3,13,0,3,4,3,3,1,36,3,0,5,0
Brienomyrus brachyistius,64,11,38,19,6,5,125,1,3,39,2,0,0,6,14,29,5,12,1,15,0,20,22,12,7,14,6,22,18,0,2,9,14,8,9,11,3,2,1,17,6,13,7,3,4,7,3,6,5,1,5,0,7,11,15,9,13,41,3,6,10,5,18,27,0
Bubalus bubalis,3,3,1,0,2,1,1,44,36,3,28,39,30,0,1,1,2,3,26,0,26,1,1,3,3,4,11,0,20,45,37,0,2,1,0,2,33,33,20,26,1,4,1,37,43,1,2,2,1,29,2,27,1,1,4,10,3,2,2,2,0,57,1,4,37
Callithrix jacchus,1,0,3,2,1,4,6,36,62,3,37,31,23,0,2,2,1,4,25,0,26,3,2,2,3,1,13,1,26,23,52,1,1,2,0,2,28,53,40,32,2,5,1,55,37,0,3,2,0,25,0,21,1,1,0,25,3,3,0,0,0,67,1,6,39
Carassius gibelio,78,10,23,28,32,14,16,3,2,256,3,1,2,27,18,18,3,60,0,11,1,16,27,24,26,20,1,13,2,1,3,19,28,18,19,13,1,1,1,4,30,15,19,2,4,7,6,0,20,3,20,0,47,2,27,8,15,12,16,19,3,4,51,115,2
