n_samples,rank,eigenvalue,cumulative_variance
16384,1,65.23986,0.32567218
16384,2,51.674553,0.58362746
16384,3,38.850574,0.77756643
16384,4,10.656423,0.83076245
16384,5,6.594314,0.8636807
16384,6,5.585998,0.89156556
16384,7,4.5368066,0.91421294
16384,8,1.9967167,0.9241804
16384,9,1.6502202,0.93241817
16384,10,1.5107462,0.9399597
16384,11,1.3170884,0.9465345
16384,12,1.1226065,0.9521385
16384,13,0.90799195,0.9566711
16384,14,0.8031084,0.9606802
16384,15,0.70583993,0.96420366
16384,16,0.50325036,0.9667158
16384,17,0.43708393,0.9688977
16384,18,0.37643456,0.97077686
16384,19,0.36561805,0.972602
16384,20,0.31528544,0.9741759
16384,21,0.2837662,0.97559243
16384,22,0.25676543,0.9768742
16384,23,0.23622198,0.9780534
16384,24,0.22377816,0.9791705
16384,25,0.20272166,0.98018247
16384,26,0.16932663,0.9810277
16384,27,0.15969837,0.98182493
16384,28,0.15232348,0.9825853
16384,29,0.1433464,0.98330086
16384,30,0.13497262,0.98397464
16384,31,0.11896768,0.98456854
16384,32,0.11415702,0.9851384
16384,33,0.112111196,0.98569804
16384,34,0.105378136,0.98622406
16384,35,0.09599992,0.9867033
16384,36,0.08961751,0.98715067
16384,37,0.087519735,0.9875876
16384,38,0.082664974,0.9880002
16384,39,0.0781135,0.98839015
16384,40,0.07737113,0.9887764
16384,41,0.07231949,0.9891374
16384,42,0.06652852,0.9894695
16384,43,0.06449317,0.98979145
16384,44,0.05767506,0.99007934
16384,45,0.055987317,0.9903588
16384,46,0.054272626,0.99062973
16384,47,0.051940914,0.990889
16384,48,0.05091031,0.99114317
16384,49,0.046526752,0.99137545
16384,50,0.04347684,0.99159247
16384,51,0.04064668,0.99179536
16384,52,0.03968219,0.9919934
16384,53,0.03901399,0.99218816
16384,54,0.037906997,0.9923774
16384,55,0.03715573,0.9925629
16384,56,0.034931965,0.9927373
16384,57,0.03351483,0.9929046
16384,58,0.031591333,0.9930623
16384,59,0.030549552,0.99321485
16384,60,0.028672554,0.99335796
16384,61,0.027202051,0.99349374
16384,62,0.025906054,0.9936231
16384,63,0.025504297,0.9937504
16384,64,0.024794748,0.9938742
16384,65,0.023795865,0.993993
16384,66,0.022574829,0.9941057
16384,67,0.021954644,0.9942153
16384,68,0.021186298,0.99432105
16384,69,0.020265536,0.9944222
16384,70,0.0199366,0.99452174
16384,71,0.01964893,0.99461985
16384,72,0.019289741,0.99471617
16384,73,0.01891052,0.9948106
16384,74,0.0183572,0.9949022
16384,75,0.017987018,0.99499196
16384,76,0.017081272,0.99507725
16384,77,0.016375512,0.995159
16384,78,0.015607982,0.9952369
16384,79,0.015275468,0.9953131
16384,80,0.01508076,0.9953884
16384,81,0.014264345,0.9954596
16384,82,0.014213241,0.99553055
16384,83,0.013932523,0.9956001
16384,84,0.0137781985,0.9956689
16384,85,0.013656037,0.9957371
16384,86,0.013281971,0.99580336
16384,87,0.012884536,0.99586767
16384,88,0.012526063,0.9959302
16384,89,0.012116671,0.9959907
16384,90,0.011948373,0.99605036
16384,91,0.01168496,0.9961087
16384,92,0.011487225,0.99616605
16384,93,0.011127843,0.9962216
16384,94,0.010925859,0.99627614
16384,95,0.010819207,0.99633014
16384,96,0.010566293,0.9963829
16384,97,0.010005604,0.99643284
16384,98,0.0097209355,0.99648136
16384,99,0.009651288,0.9965295
16384,100,0.009409753,0.9965765
16384,101,0.009361953,0.9966232
16384,102,0.009119365,0.99666876
16384,103,0.008848393,0.9967129
16384,104,0.008660026,0.99675614
16384,105,0.0085985605,0.99679905
16384,106,0.008445279,0.9968412
16384,107,0.00825725,0.99688244
16384,108,0.008165952,0.9969232
16384,109,0.007997967,0.99696314
16384,110,0.0078103123,0.9970021
16384,111,0.0076887724,0.9970405
16384,112,0.0075504933,0.9970782
16384,113,0.0074211983,0.99711525
16384,114,0.007230155,0.9971514
16384,115,0.0071376353,0.997187
16384,116,0.0070218886,0.99722207
16384,117,0.006850478,0.9972563
16384,118,0.006725827,0.99728984
16384,119,0.0066591115,0.9973231
16384,120,0.006607778,0.99735606
16384,121,0.0064265863,0.9973881
16384,122,0.006383172,0.99742
16384,123,0.006249797,0.9974512
16384,124,0.0061310274,0.99748176
16384,125,0.006032193,0.99751186
16384,126,0.0058860523,0.99754125
16384,127,0.0058714566,0.9975706
16384,128,0.005825396,0.99759966
16384,129,0.005751205,0.9976284
16384,130,0.0055828495,0.9976563
16384,131,0.0055085653,0.99768376
16384,132,0.0053822533,0.99771065
16384,133,0.0052732597,0.997737
16384,134,0.005165689,0.9977628
16384,135,0.0050806818,0.9977882
16384,136,0.0050499476,0.9978134
16384,137,0.0049203043,0.99783796
16384,138,0.004904864,0.99786246
16384,139,0.0047331867,0.99788606
16384,140,0.0045886445,0.99790895
16384,141,0.004457439,0.9979312
16384,142,0.0044268486,0.9979533
16384,143,0.004393918,0.99797523
16384,144,0.004308302,0.99799675
16384,145,0.004236253,0.9980179
16384,146,0.0042101024,0.99803895
16384,147,0.0041664448,0.99805975
16384,148,0.0040884805,0.99808013
16384,149,0.003935722,0.9980998
16384,150,0.0038175362,0.9981189
16384,151,0.0037953102,0.99813783
16384,152,0.0037815417,0.9981567
16384,153,0.003697287,0.9981752
16384,154,0.0036577731,0.99819344
16384,155,0.003623308,0.9982115
16384,156,0.0035642507,0.9982293
16384,157,0.0035145176,0.99824685
16384,158,0.0034613542,0.99826413
16384,159,0.0034221532,0.99828124
16384,160,0.0033649134,0.99829805
16384,161,0.0033563755,0.9983148
16384,162,0.0032792513,0.9983312
16384,163,0.0032395981,0.99834734
16384,164,0.0031983524,0.9983633
16384,165,0.00312188,0.9983789
16384,166,0.0030671714,0.9983942
16384,167,0.0030170542,0.9984093
16384,168,0.0029869962,0.9984242
16384,169,0.002962066,0.99843895
16384,170,0.00293517,0.9984536
16384,171,0.00292623,0.9984682
16384,172,0.0028727367,0.9984826
16384,173,0.0028275792,0.9984967
16384,174,0.0027816046,0.9985106
16384,175,0.002774876,0.9985244
16384,176,0.0027039738,0.9985379
16384,177,0.002684047,0.9985513
16384,178,0.0026575667,0.9985646
16384,179,0.0025921953,0.99857754
16384,180,0.0025839354,0.9985904
16384,181,0.0025357157,0.99860305
16384,182,0.0025063301,0.99861556
16384,183,0.0024787777,0.99862796
16384,184,0.0024585566,0.99864024
16384,185,0.0024537973,0.9986525
16384,186,0.0023923737,0.99866444
16384,187,0.0023592706,0.99867624
16384,188,0.002310141,0.99868774
16384,189,0.00229359,0.9986992
16384,190,0.002241106,0.9987104
16384,191,0.0022363316,0.99872154
16384,192,0.0022165042,0.9987326
16384,193,0.002165373,0.9987434
16384,194,0.002147527,0.99875414
16384,195,0.0021379536,0.9987648
16384,196,0.0021131148,0.99877536
16384,197,0.0020812203,0.99878573
16384,198,0.0020367668,0.9987959
16384,199,0.0019991337,0.9988059
16384,200,0.00198782,0.9988158
16384,201,0.0019617854,0.99882555
16384,202,0.0019428255,0.99883527
16384,203,0.0019231942,0.99884486
16384,204,0.0019169361,0.99885446
16384,205,0.0018891674,0.9988639
16384,206,0.0018670297,0.9988732
16384,207,0.0018451947,0.9988824
16384,208,0.0018367169,0.9988916
16384,209,0.001818379,0.99890065
16384,210,0.0018040019,0.99890965
16384,211,0.0017807496,0.99891853
16384,212,0.0017600999,0.9989273
16384,213,0.0017379068,0.998936
16384,214,0.0017082716,0.9989445
16384,215,0.0016841822,0.9989529
16384,216,0.0016716875,0.99896127
16384,217,0.0016665276,0.9989696
16384,218,0.0016427129,0.99897784
16384,219,0.0016187396,0.99898595
16384,220,0.0016027176,0.99899393
16384,221,0.0015899785,0.99900186
16384,222,0.0015816691,0.9990097
16384,223,0.0015533038,0.9990175
16384,224,0.0015225526,0.9990251
16384,225,0.001517964,0.9990327
16384,226,0.001502567,0.9990402
16384,227,0.001492833,0.99904764
16384,228,0.001481418,0.999055
16384,229,0.0014492946,0.99906224
16384,230,0.0014394398,0.99906945
16384,231,0.0014315433,0.9990766
16384,232,0.0014064189,0.99908364
16384,233,0.0013996912,0.9990906
16384,234,0.0013921631,0.9990976
16384,235,0.001374525,0.99910444
16384,236,0.0013644983,0.99911124
16384,237,0.0013543167,0.999118
16384,238,0.0013368059,0.99912465
16384,239,0.0013238086,0.99913126
16384,240,0.0013115607,0.9991378
16384,241,0.0012857681,0.99914426
16384,242,0.0012713553,0.9991506
16384,243,0.0012565579,0.99915683
16384,244,0.001248494,0.9991631
16384,245,0.0012369127,0.9991693
16384,246,0.001230432,0.9991754
16384,247,0.0012183985,0.9991815
16384,248,0.0012024454,0.9991875
16384,249,0.0011986138,0.9991935
16384,250,0.0011844384,0.9991994
16384,251,0.0011837338,0.9992053
16384,252,0.0011660884,0.99921113
16384,253,0.0011522156,0.99921685
16384,254,0.0011451971,0.9992226
16384,255,0.00113066,0.99922824
16384,256,0.0011252674,0.99923384
16384,257,0.0011214925,0.99923944
16384,258,0.0011064103,0.999245
16384,259,0.0010890336,0.9992504
